Adress: 4294967296, Name: _mh_execute_header
Adress: 4294974464, Name: ft_dtoa
Adress: 4294974608, Name: get_next_line
Adress: 4294974944, Name: read_next
Adress: 4294975168, Name: found_n
Adress: 4294975456, Name: ft_freejoin
Adress: 4294975792, Name: ft_atoi
Adress: 4294976160, Name: ft_abs
Adress: 4294976208, Name: ft_atoi_base_u_64
Adress: 4294976672, Name: check_error
Adress: 4294976944, Name: c_str
Adress: 4294977104, Name: ft_int_memset
Adress: 4294977184, Name: ft_bzero
Adress: 4294977232, Name: ft_max
Adress: 4294977280, Name: ft_calloc
Adress: 4294977392, Name: ft_freetab
Adress: 4294977504, Name: ft_isdigit
Adress: 4294977552, Name: ft_itoa
Adress: 4294977840, Name: size_n
Adress: 4294977952, Name: ft_memcpy
Adress: 4294978080, Name: ft_memmove
Adress: 4294978288, Name: ft_memset
Adress: 4294978368, Name: ft_split
Adress: 4294978592, Name: count_word
Adress: 4294978864, Name: fill_tab
Adress: 4294979232, Name: free_tab
Adress: 4294979328, Name: ft_strchr
Adress: 4294979456, Name: ft_strdup
Adress: 4294979664, Name: ft_strjoin
Adress: 4294979984, Name: ft_strlcat
Adress: 4294980384, Name: ft_strlcpy
Adress: 4294980576, Name: ft_strlen
Adress: 4294980640, Name: ft_strncmp
Adress: 4294980928, Name: ft_strrchr
Adress: 4294981104, Name: ft_strtrim
Adress: 4294981424, Name: ft_substr
Adress: 4294981760, Name: ft_lstnew
Adress: 4294981856, Name: ft_lstdelone
Adress: 4294981904, Name: ft_lstclear
Adress: 4294982064, Name: display_log
Adress: 4294982176, Name: mlx_shaders_pixel
Adress: 4294982784, Name: mlx_shaders_image
Adress: 4294983392, Name: mlx_shaders_font
Adress: 4294984000, Name: mlx_shaders
Adress: 4294984064, Name: get_mouse_button
Adress: 4294984144, Name: [NSWindowEvent initWithContentRect:styleMask:backing:defer:]
Adress: 4294984640, Name: [NSWindowEvent setEvent:andFunc:andParam:]
Adress: 4294984720, Name: [NSWindowEvent setKeyRepeat:]
Adress: 4294984736, Name: [NSWindowEvent acceptsFirstResponder]
Adress: 4294984752, Name: [NSWindowEvent flagsChanged:]
Adress: 4294984928, Name: [NSWindowEvent keyDown:]
Adress: 4294985056, Name: [NSWindowEvent keyUp:]
Adress: 4294985136, Name: [NSWindowEvent mouseDown:]
Adress: 4294985344, Name: [NSWindowEvent rightMouseDown:]
Adress: 4294985552, Name: [NSWindowEvent otherMouseDown:]
Adress: 4294985760, Name: [NSWindowEvent mouseUp:]
Adress: 4294985968, Name: [NSWindowEvent rightMouseUp:]
Adress: 4294986176, Name: [NSWindowEvent otherMouseUp:]
Adress: 4294986384, Name: [NSWindowEvent mouseMoved:]
Adress: 4294986480, Name: [NSWindowEvent mouseDragged:]
Adress: 4294986576, Name: [NSWindowEvent rightMouseDragged:]
Adress: 4294986672, Name: [NSWindowEvent otherMouseDragged:]
Adress: 4294986768, Name: [NSWindowEvent scrollWheel:]
Adress: 4294987040, Name: [NSWindowEvent exposeNotification:]
Adress: 4294987088, Name: [NSWindowEvent closeNotification:]
Adress: 4294987136, Name: [NSWindowEvent deminiaturizeNotification:]
